;abstract_lemma;abstract_pos
60005216;[('culture', 28), ('religious', 23), ('human', 21), ('philosophy', 20), ('study', 19), ('theology', 15), ('research', 15), ('belief', 15), ('understand', 13), ('new', 13), ('present', 13), ('factor', 12), ('article', 12), ('sustainability', 12), ('philosopher', 11), ('part', 10), ('propose', 10), ('development', 10), ('history', 10), ('science', 9), ('good', 9), ('paper', 9), ('point', 9), ('author', 9), ('concept', 8), ('evolution', 8), ('religion', 8), ('cognition', 8), ('current', 8), ('need', 8)];[(('religious', 'JJ'), 23), (('cultural', 'JJ'), 21), (('human', 'JJ'), 18), (('research', 'NN'), 15), (('philosophy', 'NN'), 15), (('new', 'JJ'), 13), (('article', 'NN'), 11), (('present', 'JJ'), 10), (('theological', 'JJ'), 9), (('paper', 'NN'), 9), (('part', 'NN'), 9), (('current', 'JJ'), 8), (('study', 'NN'), 8), (('sustainability', 'NN'), 8), (('studies', 'NNS'), 8), (('recent', 'JJ'), 7), (('culture', 'NN'), 7), (('cognitive', 'JJ'), 7), (('development', 'NN'), 7), (('factors', 'NNS'), 7), (('life', 'NN'), 7), (('could', 'MD'), 7), (('belief', 'NN'), 7), (('philosophers', 'NNS'), 7), (('science', 'NN'), 6), (('religion', 'NN'), 6), (('better', 'RBR'), 6), (('authors', 'NNS'), 6), (('role', 'NN'), 6), (('humanities', 'NNS'), 6)]
60005254;[('model', 2876), ('use', 2716), ('study', 2452), ('result', 2390), ('paper', 2096), ('show', 1854), ('different', 1691), ('process', 1553), ('analysis', 1551), ('test', 1437), ('system', 1429), ('high', 1379), ('data', 1352), ('present', 1347), ('find', 1335), ('effect', 1300), ('approach', 1264), ('base', 1227), ('provide', 1195), ('propose', 1165), ('method', 1137), ('new', 1119), ('performance', 1097), ('problem', 1085), ('time', 1074), ('research', 1016), ('case', 1000), ('design', 991), ('investigate', 973), ('structure', 961)];[(('paper', 'NN'), 2036), (('results', 'NNS'), 2014), (('different', 'JJ'), 1656), (('model', 'NN'), 1581), (('study', 'NN'), 1366), (('data', 'NNS'), 1278), (('analysis', 'NN'), 1217), (('based', 'VBN'), 1132), (('new', 'JJ'), 1115), (('using', 'VBG'), 1052), (('research', 'NN'), 999), (('performance', 'NN'), 962), (('time', 'NN'), 949), (('process', 'NN'), 937), (('approach', 'NN'), 907), (('system', 'NN'), 899), (('used', 'VBN'), 788), (('models', 'NNS'), 759), (('order', 'NN'), 746), (('authors', 'NNS'), 738), (('problem', 'NN'), 721), (('case', 'NN'), 705), (('effect', 'NN'), 687), (('patients', 'NNS'), 686), (('italian', 'JJ'), 647), (('role', 'NN'), 646), (('may', 'MD'), 644), (('design', 'NN'), 640), (('number', 'NN'), 633), (('present', 'JJ'), 632)]
60005308;[('patient', 12814), ('study', 5634), ('result', 4520), ('use', 4407), ('group', 3452), ('significant', 3315), ('high', 3106), ('method', 2968), ('clinic', 2766), ('treatment', 2766), ('analysis', 2704), ('show', 2694), ('cell', 2545), ('disease', 2424), ('conclusion', 2311), ('increase', 2303), ('year', 2261), ('level', 2034), ('control', 2024), ('month', 1979), ('find', 1971), ('cancer', 1970), ('evaluate', 1958), ('compare', 1913), ('data', 1905), ('aim', 1903), ('risk', 1842), ('associate', 1831), ('surgery', 1805), ('present', 1782)];[(('patients', 'NNS'), 11788), (('results', 'NNS'), 3904), (('study', 'NN'), 3400), (('clinical', 'JJ'), 2606), (('treatment', 'NN'), 2469), (('group', 'NN'), 2423), (('analysis', 'NN'), 2281), (('methods', 'NNS'), 2235), (('data', 'NNS'), 1806), (('compared', 'VBN'), 1757), (('cancer', 'NN'), 1746), (('using', 'VBG'), 1716), (('significant', 'JJ'), 1713), (('months', 'NNS'), 1707), (('years', 'NNS'), 1681), (('different', 'JJ'), 1676), (('disease', 'NN'), 1649), (('risk', 'NN'), 1635), (('significantly', 'RB'), 1602), (('associated', 'VBN'), 1567), (('showed', 'VBD'), 1475), (('may', 'MD'), 1444), (('time', 'NN'), 1436), (('conclusions', 'NNS'), 1389), (('age', 'NN'), 1340), (('levels', 'NNS'), 1335), (('authors', 'NNS'), 1252), (('higher', 'JJR'), 1240), (('used', 'VBN'), 1227), (('studies', 'NNS'), 1202)]
60005661;[('model', 164), ('use', 149), ('flood', 127), ('result', 97), ('water', 90), ('study', 90), ('language', 80), ('river', 79), ('research', 72), ('different', 70), ('analysis', 70), ('italian', 68), ('floodplain', 65), ('method', 61), ('data', 60), ('paper', 58), ('flow', 56), ('propose', 53), ('author', 52), ('problem', 51), ('present', 48), ('approach', 48), ('work', 47), ('base', 46), ('show', 46), ('find', 45), ('process', 44), ('investigate', 44), ('structure', 43), ('experiment', 43)];[(('results', 'NNS'), 80), (('research', 'NN'), 71), (('flood', 'NN'), 68), (('different', 'JJ'), 68), (('model', 'NN'), 68), (('italian', 'JJ'), 66), (('water', 'NN'), 61), (('data', 'NNS'), 60), (('analysis', 'NN'), 60), (('paper', 'NN'), 56), (('language', 'NN'), 51), (('using', 'VBG'), 47), (('river', 'NN'), 46), (('models', 'NNS'), 45), (('study', 'NN'), 40), (('use', 'NN'), 40), (('authors', 'NNS'), 37), (('based', 'VBN'), 37), (('studies', 'NNS'), 35), (('article', 'NN'), 35), (('order', 'NN'), 34), (('floodplain', 'NN'), 34), (('information', 'NN'), 32), (('speakers', 'NNS'), 32), (('approach', 'NN'), 31), (('used', 'VBN'), 31), (('new', 'JJ'), 31), (('role', 'NN'), 30), (('social', 'JJ'), 30), (('rights', 'NNS'), 30)]
60007061;[('use', 16567), ('study', 13796), ('result', 13592), ('model', 12590), ('show', 10997), ('system', 9762), ('high', 9209), ('patient', 8898), ('analysis', 8737), ('different', 8169), ('method', 8150), ('present', 7630), ('data', 7324), ('effect', 7174), ('cell', 7022), ('process', 6876), ('paper', 6466), ('structure', 6390), ('find', 6317), ('obtain', 6267), ('time', 6067), ('propose', 6046), ('test', 5861), ('approach', 5843), ('base', 5794), ('increase', 5564), ('experiment', 5490), ('group', 5405), ('activity', 5378), ('significant', 5231)];[(('results', 'NNS'), 10963), (('patients', 'NNS'), 8124), (('different', 'JJ'), 8027), (('model', 'NN'), 7640), (('study', 'NN'), 7389), (('analysis', 'NN'), 7207), (('data', 'NNS'), 6927), (('using', 'VBG'), 6675), (('paper', 'NN'), 6310), (('system', 'NN'), 5963), (('based', 'VBN'), 5277), (('time', 'NN'), 5000), (('new', 'JJ'), 4968), (('used', 'VBN'), 4946), (('approach', 'NN'), 4290), (('high', 'JJ'), 4283), (('order', 'NN'), 4134), (('activity', 'NN'), 4098), (('properties', 'NNS'), 3969), (('process', 'NN'), 3910), (('systems', 'NNS'), 3798), (('authors', 'NNS'), 3718), (('methods', 'NNS'), 3707), (('compared', 'VBN'), 3602), (('effects', 'NNS'), 3591), (('rights', 'NNS'), 3578), (('effect', 'NN'), 3574), (('energy', 'NN'), 3554), (('method', 'NN'), 3493), (('conditions', 'NNS'), 3467)]
60009340;[('church', 29), ('history', 20), ('byzantine', 17), ('nature', 16), ('study', 16), ('catholic', 16), ('tradition', 16), ('reserve', 15), ('right', 14), ('Judaism', 13), ('prayer', 13), ('christian', 13), ('christ', 12), ('part', 12), ('text', 11), ('article', 10), ('john', 10), ('theology', 10), ('liturgy', 10), ('papyrus', 10), ('coptic', 10), ('way', 9), ('east', 9), ('show', 9), ('menologion', 9), ('bishop', 9), ('present', 9), ('time', 8), ('work', 8), ('spiritual', 8)];[(('church', 'NN'), 19), (('rights', 'NNS'), 14), (('history', 'NN'), 12), (('tradition', 'NN'), 12), (('catholic', 'JJ'), 11), (('part', 'NN'), 11), (('article', 'NN'), 10), (('orthodox', 'JJ'), 10), (('coptic', 'JJ'), 10), (('christian', 'JJ'), 10), (('churches', 'NNS'), 9), (('menologion', 'NN'), 9), (('prayer', 'NN'), 9), (('study', 'NN'), 8), (('reserved', 'VBD'), 8), (('nature', 'NN'), 8), (('historical', 'JJ'), 8), (('reserved', 'VBN'), 7), (('way', 'NN'), 7), (('russian', 'JJ'), 7), (('eastern', 'JJ'), 7), (('spiritual', 'JJ'), 7), (('paper', 'NN'), 7), (('analysis', 'NN'), 7), (('text', 'NN'), 7), (('john', 'NN'), 6), (('union', 'NN'), 6), (('time', 'NN'), 6), (('byzantine', 'NN'), 6), (('east', 'JJ'), 6)]
60009622;[('patient', 29743), ('study', 10425), ('result', 9050), ('cell', 7664), ('use', 7584), ('group', 7386), ('clinic', 6344), ('significant', 6241), ('high', 6109), ('treatment', 6037), ('analysis', 5709), ('show', 5596), ('disease', 5522), ('method', 5502), ('year', 5255), ('conclusion', 5233), ('associate', 4854), ('surgery', 4527), ('control', 4340), ('increase', 4317), ('find', 4260), ('risk', 4066), ('compare', 3950), ('rate', 3928), ('month', 3703), ('age', 3677), ('outcome', 3625), ('±', 3588), ('data', 3570), ('level', 3498)];[(('patients', 'NNS'), 27349), (('results', 'NNS'), 8025), (('study', 'NN'), 6328), (('clinical', 'JJ'), 5990), (('treatment', 'NN'), 5514), (('group', 'NN'), 5160), (('methods', 'NNS'), 4816), (('cells', 'NNS'), 4333), (('associated', 'VBN'), 4136), (('analysis', 'NN'), 4089), (('disease', 'NN'), 3784), (('compared', 'VBN'), 3696), (('years', 'NNS'), 3597), (('risk', 'NN'), 3575), (('conclusions', 'NNS'), 3393), (('showed', 'VBD'), 3310), (('data', 'NNS'), 3278), (('significant', 'JJ'), 3239), (('may', 'MD'), 3076), (('using', 'VBG'), 3024), (('age', 'NN'), 3004), (('significantly', 'RB'), 3002), (('months', 'NNS'), 2867), (('different', 'JJ'), 2736), (('cancer', 'NN'), 2699), (('higher', 'JJR'), 2622), (('time', 'NN'), 2595), (('respectively', 'RB'), 2560), (('therapy', 'NN'), 2453), (('rate', 'NN'), 2438)]
60009914;[('use', 3468), ('study', 3034), ('model', 2756), ('result', 2580), ('show', 2153), ('high', 2054), ('system', 2050), ('different', 2000), ('data', 1855), ('analysis', 1676), ('process', 1591), ('effect', 1422), ('find', 1407), ('increase', 1384), ('present', 1379), ('plant', 1368), ('approach', 1365), ('paper', 1340), ('method', 1310), ('research', 1240), ('time', 1237), ('base', 1234), ('author', 1225), ('provide', 1148), ('work', 1064), ('soil', 1059), ('propose', 1045), ('performance', 1016), ('significant', 990), ('change', 980)];[(('results', 'NNS'), 2031), (('different', 'JJ'), 1950), (('data', 'NNS'), 1760), (('study', 'NN'), 1694), (('model', 'NN'), 1435), (('analysis', 'NN'), 1352), (('paper', 'NN'), 1310), (('research', 'NN'), 1223), (('using', 'VBG'), 1192), (('system', 'NN'), 1160), (('authors', 'NNS'), 1141), (('based', 'VBN'), 1128), (('used', 'VBN'), 1062), (('time', 'NN'), 1043), (('new', 'JJ'), 946), (('approach', 'NN'), 940), (('performance', 'NN'), 916), (('systems', 'NNS'), 890), (('species', 'NNS'), 871), (('high', 'JJ'), 841), (('process', 'NN'), 838), (('soil', 'NN'), 804), (('conditions', 'NNS'), 801), (('models', 'NNS'), 787), (('energy', 'NN'), 774), (('effect', 'NN'), 741), (('plant', 'NN'), 715), (('water', 'NN'), 697), (('compared', 'VBN'), 687), (('effects', 'NNS'), 679)]
60010110;[('study', 11867), ('patient', 11097), ('use', 10563), ('result', 9380), ('high', 8446), ('show', 7736), ('cell', 6390), ('group', 6348), ('significant', 6149), ('increase', 5726), ('different', 5643), ('find', 5526), ('analysis', 5503), ('effect', 5303), ('method', 5028), ('level', 5022), ('data', 4525), ('present', 4517), ('treatment', 4379), ('specie', 4372), ('sample', 4262), ('low', 4256), ('model', 4167), ('test', 3988), ('activity', 3896), ('case', 3893), ('control', 3809), ('system', 3584), ('evaluate', 3437), ('observe', 3379)];[(('patients', 'NNS'), 10103), (('results', 'NNS'), 7667), (('study', 'NN'), 6289), (('different', 'JJ'), 5535), (('analysis', 'NN'), 4475), (('using', 'VBG'), 4338), (('species', 'NNS'), 4274), (('data', 'NNS'), 4227), (('group', 'NN'), 3950), (('showed', 'VBD'), 3905), (('treatment', 'NN'), 3678), (('high', 'JJ'), 3413), (('may', 'MD'), 3247), (('significant', 'JJ'), 3236), (('activity', 'NN'), 3222), (('used', 'VBN'), 3048), (('cells', 'NNS'), 3030), (('new', 'JJ'), 3005), (('methods', 'NNS'), 2988), (('compared', 'VBN'), 2961), (('significantly', 'RB'), 2913), (('levels', 'NNS'), 2913), (('higher', 'JJR'), 2758), (('effect', 'NN'), 2709), (('time', 'NN'), 2685), (('found', 'VBD'), 2684), (('effects', 'NNS'), 2584), (('clinical', 'JJ'), 2581), (('respectively', 'RB'), 2565), (('present', 'JJ'), 2551)]
60010146;[('patient', 28933), ('study', 26515), ('use', 24553), ('result', 22997), ('show', 18247), ('high', 16686), ('model', 14233), ('group', 13655), ('present', 13261), ('cell', 13009), ('analysis', 12663), ('data', 12428), ('significant', 12403), ('different', 12226), ('effect', 11976), ('increase', 11901), ('find', 11668), ('system', 11229), ('method', 11202), ('level', 10591), ('treatment', 10457), ('low', 9421), ('case', 9015), ('obtain', 8481), ('time', 8338), ('control', 8319), ('compare', 8307), ('observe', 7898), ('new', 7867), ('energy', 7826)];[(('patients', 'NNS'), 26426), (('results', 'NNS'), 19023), (('study', 'NN'), 14258), (('different', 'JJ'), 11967), (('data', 'NNS'), 11733), (('analysis', 'NN'), 10352), (('using', 'VBG'), 9766), (('treatment', 'NN'), 9239), (('group', 'NN'), 9198), (('model', 'NN'), 8356), (('new', 'JJ'), 7820), (('compared', 'VBN'), 7509), (('system', 'NN'), 7438), (('used', 'VBN'), 7391), (('showed', 'VBD'), 7189), (('high', 'JJ'), 7149), (('significant', 'JJ'), 6985), (('may', 'MD'), 6844), (('energy', 'NN'), 6730), (('cells', 'NNS'), 6652), (('time', 'NN'), 6607), (('authors', 'NNS'), 6606), (('effects', 'NNS'), 6405), (('methods', 'NNS'), 6377), (('levels', 'NNS'), 6360), (('clinical', 'JJ'), 6339), (('based', 'VBN'), 6328), (('activity', 'NN'), 6251), (('paper', 'NN'), 6241), (('present', 'JJ'), 6087)]
60011576;[('patient', 24103), ('study', 20276), ('use', 16814), ('result', 16586), ('show', 13289), ('high', 11827), ('group', 11684), ('significant', 10949), ('cell', 10443), ('effect', 9579), ('different', 9092), ('increase', 8956), ('analysis', 8714), ('find', 8557), ('present', 8414), ('method', 8325), ('treatment', 8159), ('level', 7869), ('model', 7317), ('data', 7300), ('case', 6761), ('system', 6759), ('evaluate', 6603), ('disease', 6564), ('investigate', 6483), ('activity', 6371), ('low', 6369), ('control', 6205), ('clinic', 6068), ('report', 6060)];[(('patients', 'NNS'), 21865), (('results', 'NNS'), 13872), (('study', 'NN'), 11160), (('different', 'JJ'), 8922), (('group', 'NN'), 7923), (('treatment', 'NN'), 7433), (('analysis', 'NN'), 7346), (('data', 'NNS'), 6858), (('using', 'VBG'), 6732), (('showed', 'VBD'), 6293), (('significant', 'JJ'), 5948), (('clinical', 'JJ'), 5765), (('levels', 'NNS'), 5710), (('cells', 'NNS'), 5406), (('activity', 'NN'), 5337), (('may', 'MD'), 5151), (('methods', 'NNS'), 5028), (('significantly', 'RB'), 5001), (('effects', 'NNS'), 4989), (('compared', 'VBN'), 4939), (('used', 'VBN'), 4927), (('time', 'NN'), 4892), (('high', 'JJ'), 4890), (('model', 'NN'), 4599), (('authors', 'NNS'), 4577), (('effect', 'NN'), 4575), (('present', 'JJ'), 4508), (('system', 'NN'), 4462), (('new', 'JJ'), 4352), (('years', 'NNS'), 4260)]
60012162;[('use', 23816), ('model', 23410), ('result', 18561), ('system', 16332), ('show', 13448), ('different', 13331), ('study', 13029), ('present', 12882), ('analysis', 12372), ('paper', 11903), ('method', 11403), ('propose', 11285), ('high', 10769), ('test', 10114), ('approach', 9958), ('base', 9874), ('process', 9696), ('obtain', 9532), ('structure', 9234), ('design', 9198), ('energy', 8982), ('experiment', 8506), ('data', 8359), ('time', 7992), ('effect', 7899), ('condition', 7474), ('performance', 7308), ('solution', 7178), ('surface', 7163), ('property', 7035)];[(('results', 'NNS'), 15153), (('different', 'JJ'), 13180), (('model', 'NN'), 13029), (('paper', 'NN'), 11692), (('analysis', 'NN'), 10118), (('system', 'NN'), 9873), (('based', 'VBN'), 9160), (('using', 'VBG'), 8945), (('energy', 'NN'), 8700), (('data', 'NNS'), 7910), (('used', 'VBN'), 7792), (('approach', 'NN'), 7376), (('study', 'NN'), 6670), (('time', 'NN'), 6652), (('properties', 'NNS'), 6647), (('systems', 'NNS'), 6459), (('order', 'NN'), 6448), (('new', 'JJ'), 6394), (('method', 'NN'), 6254), (('design', 'NN'), 6229), (('conditions', 'NNS'), 6109), (('performance', 'NN'), 6036), (('proposed', 'VBN'), 5886), (('models', 'NNS'), 5854), (('experimental', 'JJ'), 5779), (('process', 'NN'), 5617), (('high', 'JJ'), 5578), (('surface', 'NN'), 5037), (('parameters', 'NNS'), 4755), (('case', 'NN'), 4712)]
60012227;[('model', 9457), ('use', 6515), ('show', 6436), ('result', 6100), ('study', 5497), ('find', 5402), ('present', 4927), ('theory', 4214), ('system', 4072), ('function', 4040), ('galaxy', 3863), ('field', 3760), ('data', 3738), ('mass', 3602), ('structure', 3597), ('energy', 3547), ('state', 3487), ('society', 3478), ('spectrum', 3423), ('effect', 3289), ('large', 3116), ('physical', 3060), ('different', 3042), ('american', 3042), ('high', 3040), ('phase', 2958), ('case', 2788), ('experiment', 2787), ('space', 2774), ('property', 2756)];[(('model', 'NN'), 5372), (('results', 'NNS'), 4493), (('data', 'NNS'), 3571), (('society', 'NN'), 3393), (('using', 'VBG'), 3326), (('models', 'NNS'), 3070), (('energy', 'NN'), 3060), (('american', 'JJ'), 3042), (('study', 'NN'), 2995), (('different', 'JJ'), 2989), (('physical', 'JJ'), 2967), (('field', 'NN'), 2765), (('theory', 'NN'), 2627), (('mass', 'NN'), 2607), (('properties', 'NNS'), 2504), (('present', 'JJ'), 2451), (('function', 'NN'), 2370), (('large', 'JJ'), 2339), (('system', 'NN'), 2223), (('order', 'NN'), 2173), (('case', 'NN'), 2096), (('density', 'NN'), 2039), (('new', 'JJ'), 2038), (('phase', 'NN'), 2026), (('structure', 'NN'), 2020), (('analysis', 'NN'), 2005), (('show', 'NN'), 1973), (('time', 'NN'), 1948), (('find', 'VBP'), 1943), (('based', 'VBN'), 1892)]
60012259;[('patient', 67212), ('study', 51566), ('use', 45347), ('result', 43888), ('cell', 37842), ('high', 33164), ('show', 32758), ('analysis', 25198), ('group', 24968), ('data', 24881), ('significant', 24852), ('find', 23853), ('increase', 23477), ('different', 22855), ('model', 22126), ('method', 21872), ('present', 21592), ('effect', 20794), ('treatment', 20167), ('level', 19607), ('case', 19075), ('low', 17715), ('year', 16086), ('disease', 16061), ('sample', 15851), ('time', 15834), ('clinic', 15773), ('observe', 15643), ('control', 15430), ('test', 15370)];[(('patients', 'NNS'), 61761), (('results', 'NNS'), 36491), (('study', 'NN'), 27646), (('data', 'NNS'), 23389), (('different', 'JJ'), 22388), (('analysis', 'NN'), 20170), (('cells', 'NNS'), 19770), (('using', 'VBG'), 18842), (('treatment', 'NN'), 17549), (('group', 'NN'), 16202), (('clinical', 'JJ'), 14978), (('methods', 'NNS'), 14296), (('may', 'MD'), 14288), (('compared', 'VBN'), 13577), (('showed', 'VBD'), 13403), (('significant', 'JJ'), 13381), (('high', 'JJ'), 13322), (('cancer', 'NN'), 12822), (('used', 'VBN'), 12816), (('time', 'NN'), 12740), (('cell', 'NN'), 12643), (('new', 'JJ'), 12567), (('model', 'NN'), 12536), (('associated', 'VBN'), 12269), (('risk', 'NN'), 11851), (('years', 'NNS'), 11842), (('cases', 'NNS'), 11637), (('significantly', 'RB'), 11471), (('levels', 'NNS'), 11436), (('observed', 'VBD'), 11418)]
60012280;[('study', 62), ('religious', 62), ('psychological', 54), ('scale', 44), ('priest', 44), ('use', 38), ('among', 38), ('francis', 37), ('high', 34), ('result', 32), ('positive', 32), ('catholic', 32), ('data', 31), ('italy', 31), ('emotional', 31), ('purpose', 31), ('affect', 31), ('find', 30), ('ministry', 30), ('negative', 29), ('patient', 28), ('right', 27), ('sample', 27), ('significant', 27), ('di', 27), ('relationship', 25), ('group', 25), ('life', 25), ('god', 24), ('research', 24)];[(('religious', 'JJ'), 62), (('psychological', 'JJ'), 54), (('study', 'NN'), 45), (('among', 'IN'), 38), (('priests', 'NNS'), 37), (('catholic', 'JJ'), 32), (('emotional', 'JJ'), 31), (('positive', 'JJ'), 30), (('data', 'NNS'), 29), (('results', 'NNS'), 29), (('ministry', 'NN'), 29), (('francis', 'NN'), 28), (('patients', 'NNS'), 26), (('negative', 'JJ'), 25), (('rights', 'NNS'), 25), (('life', 'NN'), 24), (('research', 'NN'), 23), (('relationship', 'NN'), 23), (('purpose', 'JJ'), 23), (('significant', 'JJ'), 22), (('new', 'JJ'), 21), (('personal', 'JJ'), 21), (('group', 'NN'), 20), (('di', 'NN'), 20), (('social', 'JJ'), 19), (('health', 'NN'), 19), (('scale', 'NN'), 19), (('sisters', 'NNS'), 19), (('paper', 'NN'), 18), (('article', 'NN'), 18)]
60012306;[('patient', 27844), ('study', 23869), ('use', 22158), ('result', 20667), ('show', 14824), ('high', 14418), ('model', 14360), ('data', 13103), ('analysis', 11926), ('cell', 11878), ('find', 11013), ('present', 10657), ('different', 10561), ('group', 10510), ('method', 10068), ('effect', 9781), ('increase', 9667), ('significant', 9460), ('time', 8091), ('level', 7993), ('low', 7973), ('year', 7806), ('treatment', 7675), ('risk', 7610), ('associate', 7215), ('control', 7165), ('compare', 6969), ('system', 6913), ('author', 6912), ('measure', 6897)];[(('patients', 'NNS'), 25685), (('results', 'NNS'), 17095), (('study', 'NN'), 13180), (('data', 'NNS'), 12433), (('different', 'JJ'), 10299), (('analysis', 'NN'), 9374), (('using', 'VBG'), 9349), (('model', 'NN'), 7733), (('treatment', 'NN'), 6849), (('methods', 'NNS'), 6758), (('group', 'NN'), 6726), (('risk', 'NN'), 6614), (('time', 'NN'), 6482), (('high', 'JJ'), 6433), (('authors', 'NNS'), 6349), (('compared', 'VBN'), 6176), (('associated', 'VBN'), 6166), (('cells', 'NNS'), 6065), (('clinical', 'JJ'), 6028), (('used', 'VBN'), 6026), (('based', 'VBN'), 6011), (('new', 'JJ'), 5979), (('may', 'MD'), 5897), (('years', 'NNS'), 5878), (('significant', 'JJ'), 5188), (('present', 'JJ'), 5146), (('effects', 'NNS'), 4997), (('showed', 'VBD'), 4958), (('age', 'NN'), 4922), (('studies', 'NNS'), 4919)]
60012630;[('use', 11391), ('model', 10231), ('result', 9793), ('study', 8241), ('show', 7857), ('data', 7515), ('present', 7086), ('analysis', 6439), ('high', 5969), ('different', 5816), ('system', 5476), ('structure', 5425), ('find', 5015), ('time', 4463), ('paper', 4412), ('base', 4316), ('effect', 4314), ('experiment', 4069), ('method', 3922), ('new', 3914), ('process', 3836), ('energy', 3768), ('provide', 3692), ('obtain', 3568), ('large', 3522), ('low', 3509), ('observe', 3472), ('increase', 3468), ('cell', 3443), ('approach', 3437)];[(('results', 'NNS'), 7745), (('data', 'NNS'), 7149), (('model', 'NN'), 5943), (('different', 'JJ'), 5687), (('using', 'VBG'), 5069), (('analysis', 'NN'), 4994), (('paper', 'NN'), 4313), (('study', 'NN'), 4073), (('based', 'VBN'), 3920), (('new', 'JJ'), 3906), (('time', 'NN'), 3485), (('system', 'NN'), 3436), (('energy', 'NN'), 3371), (('present', 'JJ'), 3148), (('used', 'VBN'), 3091), (('high', 'JJ'), 3079), (('species', 'NNS'), 3046), (('order', 'NN'), 2810), (('large', 'JJ'), 2692), (('structure', 'NN'), 2643), (('models', 'NNS'), 2642), (('authors', 'NNS'), 2634), (('rights', 'NNS'), 2518), (('well', 'RB'), 2508), (('approach', 'NN'), 2487), (('properties', 'NNS'), 2400), (('field', 'NN'), 2396), (('effects', 'NNS'), 2395), (('may', 'MD'), 2334), (('conditions', 'NNS'), 2327)]
60013494;[('use', 6683), ('study', 5170), ('result', 4635), ('model', 4435), ('show', 4128), ('high', 3837), ('analysis', 3638), ('different', 3634), ('data', 2990), ('present', 2697), ('water', 2696), ('system', 2693), ('process', 2639), ('find', 2565), ('paper', 2525), ('sample', 2487), ('effect', 2402), ('structure', 2387), ('complex', 2379), ('increase', 2349), ('obtain', 2273), ('method', 2210), ('time', 2193), ('concentration', 2166), ('change', 2164), ('approach', 2164), ('elsevier', 2149), ('base', 2139), ('reaction', 2136), ('provide', 2073)];[(('results', 'NNS'), 3578), (('different', 'JJ'), 3555), (('analysis', 'NN'), 2926), (('data', 'NNS'), 2842), (('using', 'VBG'), 2647), (('paper', 'NN'), 2458), (('model', 'NN'), 2450), (('study', 'NN'), 2400), (('water', 'NN'), 2060), (('new', 'JJ'), 1995), (('used', 'VBN'), 1863), (('based', 'VBN'), 1860), (('species', 'NNS'), 1784), (('high', 'JJ'), 1781), (('time', 'NN'), 1742), (('rights', 'NNS'), 1721), (('conditions', 'NNS'), 1666), (('system', 'NN'), 1628), (('reaction', 'NN'), 1558), (('approach', 'NN'), 1520), (('presence', 'NN'), 1471), (('samples', 'NNS'), 1434), (('authors', 'NNS'), 1432), (('process', 'NN'), 1420), (('order', 'NN'), 1407), (('present', 'JJ'), 1374), (('information', 'NN'), 1309), (('effects', 'NNS'), 1308), (('structure', 'NN'), 1297), (('activity', 'NN'), 1255)]
60014096;[('study', 4786), ('use', 4554), ('result', 3887), ('patient', 3638), ('high', 3167), ('show', 3083), ('analysis', 2622), ('different', 2514), ('group', 2441), ('significant', 2428), ('method', 2283), ('increase', 2214), ('effect', 2088), ('cell', 2056), ('find', 2009), ('data', 1932), ('level', 1870), ('specie', 1827), ('low', 1779), ('activity', 1765), ('present', 1667), ('model', 1666), ('sample', 1630), ('system', 1629), ('treatment', 1604), ('area', 1589), ('aim', 1552), ('test', 1531), ('evaluate', 1526), ('change', 1449)];[(('patients', 'NNS'), 3239), (('results', 'NNS'), 3166), (('study', 'NN'), 2791), (('different', 'JJ'), 2462), (('analysis', 'NN'), 2078), (('data', 'NNS'), 1831), (('species', 'NNS'), 1784), (('using', 'VBG'), 1729), (('showed', 'VBD'), 1610), (('group', 'NN'), 1548), (('activity', 'NN'), 1387), (('used', 'VBN'), 1358), (('methods', 'NNS'), 1356), (('significant', 'JJ'), 1339), (('treatment', 'NN'), 1281), (('compared', 'VBN'), 1263), (('high', 'JJ'), 1212), (('new', 'JJ'), 1191), (('may', 'MD'), 1159), (('time', 'NN'), 1152), (('higher', 'JJR'), 1114), (('based', 'VBN'), 1091), (('significantly', 'RB'), 1089), (('effects', 'NNS'), 1078), (('system', 'NN'), 1066), (('cells', 'NNS'), 1062), (('authors', 'NNS'), 1058), (('levels', 'NNS'), 1048), (('effect', 'NN'), 1006), (('found', 'VBD'), 989)]
