;Akeywords_lemma;Akeywords_pos
60005216;[('religious', 6), ('religion', 5), ('culture', 4), ('science', 4), ('ecology', 4), ('study', 3), ('evolution', 3), ('belief', 3), ('university', 3), ('brain', 2), ('anthropology', 2), ('language', 2), ('cognition', 2), ('limit', 2), ('explanation', 2), ('social', 2), ('plasticity', 2), ('spirituality', 2), ('artificial', 2), ('crisis', 2), ('education', 2), ('philosophy', 2), ('integral', 2), ('active', 1), ('selftranscendence', 1), ('nervous_system', 1), ('reuse', 1), ('imago', 1), ('dei', 1), ('karl', 1)];[(('religious', 'JJ'), 6), (('religion', 'NN'), 5), (('science', 'NN'), 4), (('cultural', 'JJ'), 3), (('university', 'NN'), 3), (('brain', 'NN'), 2), (('anthropology', 'NN'), 2), (('language', 'NN'), 2), (('cognitive', 'JJ'), 2), (('limits', 'NNS'), 2), (('studies', 'NNS'), 2), (('evolutionary', 'JJ'), 2), (('explanation', 'NN'), 2), (('social', 'JJ'), 2), (('ecological', 'JJ'), 2), (('plasticity', 'NN'), 2), (('spirituality', 'NN'), 2), (('artificial', 'JJ'), 2), (('crisis', 'NN'), 2), (('education', 'NN'), 2), (('integral', 'JJ'), 2), (('ecology', 'NN'), 2), (('active', 'JJ'), 1), (('selftranscendence', 'NN'), 1), (('culture', 'NN'), 1), (('neural', 'JJ'), 1), (('reuse', 'NN'), 1), (('imago', 'NN'), 1), (('dei', 'NN'), 1), (('karl', 'NNP'), 1)]
60005254;[('model', 440), ('system', 223), ('analysis', 207), ('method', 157), ('structure', 147), ('process', 139), ('theory', 136), ('management', 135), ('performance', 120), ('design', 115), ('stochastic', 111), ('network', 110), ('data', 107), ('dynamic', 105), ('finance', 102), ('risk', 100), ('test', 99), ('optimization', 99), ('social', 97), ('simulation', 96), ('control', 94), ('detector', 94), ('equation', 93), ('sustainability', 89), ('service', 88), ('family', 88), ('market', 87), ('flow', 87), ('energy', 82), ('algorithm', 81)];[(('analysis', 'NN'), 197), (('model', 'NN'), 192), (('management', 'NN'), 131), (('models', 'NNS'), 130), (('systems', 'NNS'), 126), (('performance', 'NN'), 118), (('theory', 'NN'), 114), (('stochastic', 'JJ'), 111), (('design', 'NN'), 106), (('data', 'NNS'), 102), (('system', 'NN'), 97), (('social', 'JJ'), 97), (('optimization', 'NN'), 95), (('risk', 'NN'), 90), (('control', 'NN'), 89), (('process', 'NN'), 89), (('family', 'NN'), 87), (('energy', 'NN'), 82), (('methods', 'NNS'), 81), (('corrosion', 'NN'), 77), (('health', 'NN'), 75), (('simulation', 'NN'), 70), (('service', 'NN'), 69), (('education', 'NN'), 68), (('dynamic', 'JJ'), 67), (('method', 'NN'), 66), (('public', 'JJ'), 66), (('distribution', 'NN'), 66), (('discontinuous', 'JJ'), 65), (('equations', 'NNS'), 64)]
60005308;[('cancer', 505), ('disease', 395), ('cell', 277), ('surgery', 232), ('system', 205), ('analysis', 198), ('therapy', 177), ('diabetes', 160), ('lung', 152), ('model', 151), ('bone', 142), ('sensor', 140), ('care', 134), ('factor', 127), ('chromatography', 124), ('covid', 124), ('quality', 121), ('type', 121), ('syndrome', 116), ('heart', 115), ('breast', 114), ('magnetism', 114), ('image', 113), ('metastasis', 110), ('patient', 110), ('disorder', 106), ('chronic', 103), ('carcinoma', 101), ('activity', 100), ('acid', 99)];[(('cancer', 'NN'), 499), (('disease', 'NN'), 239), (('surgery', 'NN'), 188), (('analysis', 'NN'), 185), (('cell', 'NN'), 167), (('therapy', 'NN'), 156), (('systems', 'NNS'), 126), (('chromatography', 'NN'), 123), (('care', 'NN'), 123), (('bone', 'NN'), 118), (('magnetic', 'JJ'), 114), (('quality', 'NN'), 106), (('breast', 'NN'), 104), (('type', 'NN'), 100), (('stimulation', 'NN'), 99), (('lung', 'NN'), 98), (('diabetes', 'NNS'), 97), (('chronic', 'JJ'), 96), (('brain', 'NN'), 96), (('disease', 'VBP'), 96), (('carcinoma', 'NN'), 95), (('sensors', 'NNS'), 95), (('cells', 'NNS'), 94), (('life', 'NN'), 93), (('treatment', 'NN'), 90), (('activity', 'NN'), 89), (('risk', 'NN'), 88), (('coronary', 'JJ'), 86), (('elderly', 'JJ'), 81), (('mass', 'NN'), 80)]
60005661;[('model', 26), ('flood', 17), ('water', 17), ('analysis', 16), ('language', 15), ('interaction', 12), ('fluid', 11), ('dynamic', 9), ('italian', 9), ('corpus', 8), ('basin', 7), ('structure', 7), ('evolution', 7), ('floodplain', 7), ('medium', 7), ('river', 6), ('algorithm', 6), ('computation', 6), ('algebra', 6), ('learn', 6), ('hydrologic', 6), ('social', 6), ('slosh', 6), ('subject', 6), ('map', 5), ('search', 5), ('learner', 5), ('strain', 5), ('optimization', 5), ('speaker', 5)];[(('analysis', 'NN'), 16), (('language', 'NN'), 13), (('flood', 'NN'), 12), (('interaction', 'NN'), 12), (('hydraulic', 'JJ'), 11), (('model', 'NN'), 11), (('fluid', 'NN'), 9), (('italian', 'JJ'), 9), (('river', 'NN'), 6), (('dynamics', 'NNS'), 6), (('floodplain', 'NN'), 6), (('social', 'JJ'), 6), (('water', 'NN'), 6), (('media', 'NNS'), 6), (('modeling', 'VBG'), 5), (('basins', 'NNS'), 5), (('computational', 'JJ'), 5), (('search', 'NN'), 5), (('optimization', 'NN'), 5), (('evolution', 'NN'), 5), (('speakers', 'NNS'), 5), (('modelling', 'VBG'), 5), (('terrain', 'NN'), 5), (('sloshing', 'VBG'), 5), (('risk', 'NN'), 4), (('algebraic', 'JJ'), 4), (('comparative', 'JJ'), 4), (('research', 'NN'), 4), (('hydrogeomorphic', 'JJ'), 4), (('learning', 'VBG'), 4)]
60007061;[('model', 1377), ('system', 1285), ('analysis', 1185), ('process', 601), ('cell', 591), ('network', 588), ('method', 584), ('control', 560), ('activity', 536), ('theory', 472), ('energy', 467), ('disease', 460), ('structure', 414), ('equation', 413), ('data', 392), ('dynamic', 391), ('test', 387), ('learn', 385), ('management', 359), ('cancer', 350), ('property', 347), ('acid', 346), ('algorithm', 324), ('function', 321), ('power', 297), ('stress', 290), ('wave', 284), ('material', 279), ('image', 278), ('design', 273)];[(('analysis', 'NN'), 1130), (('systems', 'NNS'), 757), (('model', 'NN'), 624), (('system', 'NN'), 528), (('activity', 'NN'), 510), (('control', 'NN'), 473), (('energy', 'NN'), 461), (('data', 'NNS'), 378), (('theory', 'NN'), 377), (('management', 'NN'), 354), (('properties', 'NNS'), 327), (('process', 'NN'), 310), (('methods', 'NNS'), 297), (('learning', 'VBG'), 295), (('power', 'NN'), 294), (('network', 'NN'), 288), (('cancer', 'NN'), 284), (('networks', 'NNS'), 280), (('disease', 'NN'), 269), (('supercritical', 'JJ'), 267), (('stress', 'NN'), 264), (('design', 'NN'), 263), (('social', 'JJ'), 263), (('method', 'NN'), 254), (('cells', 'NNS'), 253), (('cell', 'NN'), 252), (('equations', 'NNS'), 251), (('dynamics', 'NNS'), 245), (('models', 'NNS'), 244), (('stability', 'NN'), 242)]
60009340;[('russian', 3), ('syrian', 3), ('tradition', 3), ('dead', 2), ('catholic', 2), ('emperor', 2), ('garment', 2), ('christian', 2), ('church', 2), ('foundation', 1), ('harbor', 1), ('manfred', 1), ('manfredonia', 1), ('stratum', 1), ('magna', 1), ('apotheosis', 1), ('consecratio', 1), ('ovidius', 1), ('witness', 1), ('calendar', 1), ('saint', 1), ('hagiography', 1), ('liturgy', 1), ('book', 1), ('byzantine', 1), ('apostolate', 1), ('religiosity', 1), ('collegium', 1), ('russicum', 1), ('bishop', 1)];[(('russian', 'JJ'), 3), (('syrian', 'JJ'), 3), (('tradition', 'NN'), 3), (('dead', 'JJ'), 2), (('emperor', 'NN'), 2), (('garment', 'NN'), 2), (('christian', 'JJ'), 2), (('church', 'NN'), 2), (('foundation', 'NN'), 1), (('harbor', 'NN'), 1), (('manfred', 'VBD'), 1), (('manfredonia', 'NN'), 1), (('strata', 'NNS'), 1), (('magna', 'NN'), 1), (('apotheosis', 'NN'), 1), (('consecratio', 'NN'), 1), (('ovidius', 'NN'), 1), (('witness', 'NN'), 1), (('calendar', 'NN'), 1), (('saints', 'NNS'), 1), (('hagiography', 'VBP'), 1), (('liturgical', 'JJ'), 1), (('books', 'NNS'), 1), (('byzantine', 'NN'), 1), (('catholics', 'NNS'), 1), (('catholic', 'JJ'), 1), (('apostolate', 'NN'), 1), (('religiosity', 'NN'), 1), (('collegium', 'NN'), 1), (('russicum', 'NN'), 1)]
60009622;[('cancer', 812), ('cell', 716), ('disease', 692), ('surgery', 560), ('disorder', 475), ('therapy', 399), ('image', 382), ('prostate', 373), ('covid', 336), ('kidney', 335), ('sclerosis', 332), ('syndrome', 330), ('heart', 318), ('multiple', 316), ('tomography', 289), ('carcinoma', 276), ('cognition', 266), ('treatment', 251), ('radical', 225), ('mri', 224), ('magnetism', 220), ('factor', 216), ('resonance', 201), ('neoplasm', 201), ('risk', 200), ('analysis', 195), ('bladder', 194), ('prostatectomy', 191), ('implant', 191), ('gene', 188)];[(('cancer', 'NN'), 806), (('disease', 'NN'), 445), (('surgery', 'NN'), 441), (('cell', 'NN'), 386), (('therapy', 'NN'), 357), (('sclerosis', 'NN'), 331), (('imaging', 'VBG'), 314), (('multiple', 'JJ'), 308), (('prostate', 'NN'), 306), (('disorder', 'NN'), 295), (('tomography', 'NN'), 282), (('cells', 'NNS'), 271), (('carcinoma', 'NN'), 250), (('treatment', 'NN'), 240), (('radical', 'JJ'), 224), (('magnetic', 'JJ'), 220), (('resonance', 'NN'), 201), (('covid', 'NN'), 196), (('bladder', 'NN'), 188), (('analysis', 'NN'), 184), (('risk', 'NN'), 181), (('coherence', 'NN'), 178), (('optical', 'JJ'), 176), (('syndrome', 'NN'), 173), (('mri', 'NN'), 172), (('prostatectomy', 'NN'), 171), (('clinical', 'JJ'), 167), (('bone', 'NN'), 167), (('cognitive', 'JJ'), 165), (('gene', 'NN'), 164)]
60009914;[('model', 390), ('analysis', 311), ('system', 278), ('data', 174), ('social', 159), ('management', 151), ('energy', 145), ('process', 137), ('design', 128), ('dynamic', 127), ('learn', 113), ('network', 110), ('software', 110), ('business', 107), ('economy', 103), ('theory', 102), ('performance', 101), ('development', 101), ('sustainability', 99), ('tourism', 99), ('family', 99), ('water', 97), ('industry', 97), ('soil', 93), ('method', 93), ('innovation', 90), ('quality', 89), ('education', 89), ('carbon', 87), ('change', 86)];[(('analysis', 'NN'), 305), (('model', 'NN'), 191), (('data', 'NNS'), 167), (('systems', 'NNS'), 166), (('social', 'JJ'), 158), (('management', 'NN'), 149), (('energy', 'NN'), 145), (('design', 'NN'), 124), (('system', 'NN'), 112), (('software', 'NN'), 110), (('business', 'NN'), 107), (('process', 'NN'), 98), (('family', 'NN'), 96), (('development', 'NN'), 96), (('tourism', 'NN'), 95), (('performance', 'NN'), 95), (('water', 'NN'), 90), (('quality', 'NN'), 86), (('carbon', 'NN'), 86), (('industry', 'NN'), 83), (('innovation', 'NN'), 83), (('learning', 'VBG'), 83), (('soil', 'NN'), 81), (('change', 'NN'), 74), (('economic', 'JJ'), 74), (('plant', 'NN'), 73), (('theory', 'NN'), 72), (('efficiency', 'NN'), 71), (('models', 'NNS'), 70), (('education', 'NN'), 69)]
60010110;[('analysis', 559), ('cell', 519), ('model', 444), ('acid', 403), ('disease', 389), ('sardinia', 382), ('cancer', 372), ('activity', 337), ('mediterranean', 310), ('sheep', 309), ('system', 285), ('gene', 269), ('italy', 260), ('milk', 256), ('structure', 255), ('complex', 232), ('specie', 229), ('water', 212), ('soil', 206), ('factor', 204), ('genetic', 202), ('surgery', 199), ('human', 197), ('management', 192), ('molecule', 188), ('therapy', 187), ('risk', 185), ('treatment', 181), ('stress', 180), ('infection', 178)];[(('analysis', 'NN'), 541), (('cancer', 'NN'), 328), (('activity', 'NN'), 315), (('sardinia', 'NN'), 280), (('disease', 'NN'), 245), (('cell', 'NN'), 241), (('species', 'NNS'), 227), (('gene', 'NN'), 217), (('milk', 'NN'), 210), (('acid', 'NN'), 207), (('genetic', 'JJ'), 200), (('cells', 'NNS'), 192), (('management', 'NN'), 187), (('human', 'JJ'), 185), (('system', 'NN'), 176), (('model', 'NN'), 176), (('treatment', 'NN'), 170), (('therapy', 'NN'), 170), (('stress', 'NN'), 169), (('risk', 'NN'), 165), (('molecular', 'JJ'), 165), (('quality', 'NN'), 163), (('mediterranean', 'JJ'), 163), (('water', 'NN'), 163), (('soil', 'NN'), 162), (('sclerosis', 'NN'), 151), (('surgery', 'NN'), 147), (('multiple', 'JJ'), 146), (('blood', 'NN'), 144), (('complexes', 'NNS'), 144)]
60010146;[('model', 1345), ('analysis', 1318), ('disease', 1194), ('system', 1143), ('cell', 1051), ('star', 896), ('cancer', 809), ('network', 728), ('method', 685), ('acid', 657), ('activity', 641), ('energy', 624), ('scatter', 550), ('syndrome', 545), ('control', 528), ('physic', 495), ('receptor', 485), ('quality', 472), ('stress', 471), ('risk', 465), ('factor', 454), ('sicily', 448), ('therapy', 446), ('multiple', 442), ('detector', 423), ('equation', 413), ('experiment', 409), ('sun', 408), ('molecule', 403), ('structure', 401)];[(('analysis', 'NN'), 1245), (('cancer', 'NN'), 738), (('disease', 'NN'), 723), (('stars', 'NNS'), 721), (('energy', 'NN'), 616), (('activity', 'NN'), 616), (('model', 'NN'), 593), (('system', 'NN'), 581), (('systems', 'NNS'), 562), (('scattering', 'VBG'), 533), (('physics', 'NNS'), 494), (('cells', 'NNS'), 487), (('control', 'NN'), 476), (('cell', 'NN'), 450), (('stress', 'NN'), 441), (('sicily', 'RB'), 435), (('quality', 'NN'), 432), (('risk', 'NN'), 425), (('methods', 'NNS'), 411), (('therapy', 'NN'), 409), (('networks', 'NNS'), 405), (('multiple', 'JJ'), 395), (('water', 'NN'), 346), (('models', 'NNS'), 341), (('hadronhadron', 'NN'), 334), (('treatment', 'NN'), 326), (('receptor', 'NN'), 315), (('growth', 'NN'), 314), (('molecular', 'JJ'), 311), (('magnetic', 'JJ'), 311)]
