;title_lemma;title_pos
60005216;[('religious', 6), ('culture', 5), ('la', 5), ('belief', 4), ('human', 3), ('ecology', 3), ('le', 3), ('en', 3), ('integral', 3), ('religion', 2), ('science', 2), ('catholic', 2), ('account', 2), ('john', 2), ('dun', 2), ('scotus', 2), ('perspective', 2), ('sustainability', 2), ('life', 2), ('factor', 2), ('revival', 2), ('france', 2), ('franciscan', 2), ('opposition', 2), ('adaptation', 2), ('au', 2), ('de', 2), ('judicial', 2), ('mitis', 2), ('iudex', 2)];[(('religious', 'JJ'), 6), (('la', 'NN'), 4), (('human', 'JJ'), 3), (('culture', 'NN'), 3), (('ecology', 'NN'), 3), (('integral', 'JJ'), 3), (('religion', 'NN'), 2), (('john', 'NN'), 2), (('sustainability', 'NN'), 2), (('life', 'NN'), 2), (('factor', 'NN'), 2), (('belief', 'NN'), 2), (('france', 'NN'), 2), (('opposition', 'NN'), 2), (('adaptation', 'NN'), 2), (('en', 'IN'), 2), (('au', 'JJ'), 2), (('judicial', 'JJ'), 2), (('mitis', 'NN'), 2), (('iudex', 'NN'), 2), (('coping', 'VBG'), 2), (('according', 'VBG'), 2), (('university', 'NN'), 2), (('si', 'NN'), 2), (('cultural', 'JJ'), 2), (('shaping', 'VBG'), 1), (('transcending', 'VBG'), 1), (('written', 'VBN'), 1), (('language', 'NN'), 1), (('brain', 'NN'), 1)]
60005254;[('model', 374), ('study', 226), ('analysis', 214), ('effect', 208), ('system', 187), ('italian', 176), ('approach', 155), ('performance', 150), ('di', 143), ('design', 124), ('case', 124), ('use', 122), ('process', 118), ('method', 115), ('new', 112), ('role', 111), ('la', 110), ('application', 107), ('italy', 107), ('evidence', 106), ('de', 102), ('dynamic', 98), ('structure', 96), ('flow', 96), ('assessment', 94), ('firm', 94), ('base', 93), ('impact', 92), ('industry', 90), ('development', 90)];[(('analysis', 'NN'), 199), (('study', 'NN'), 180), (('italian', 'JJ'), 174), (('model', 'NN'), 174), (('performance', 'NN'), 143), (('approach', 'NN'), 138), (('case', 'NN'), 119), (('effects', 'NNS'), 114), (('new', 'JJ'), 112), (('design', 'NN'), 109), (('role', 'NN'), 108), (('systems', 'NNS'), 104), (('evidence', 'NN'), 101), (('di', 'NN'), 101), (('effect', 'NN'), 94), (('models', 'NNS'), 87), (('system', 'NN'), 83), (('based', 'VBN'), 82), (('using', 'VBG'), 80), (('data', 'NNS'), 80), (('social', 'JJ'), 79), (('family', 'NN'), 79), (('management', 'NN'), 77), (('optimization', 'NN'), 74), (('development', 'NN'), 72), (('process', 'NN'), 69), (('risk', 'NN'), 69), (('control', 'NN'), 69), (('stochastic', 'JJ'), 66), (('italy', 'NN'), 65)]
60005308;[('patient', 1010), ('study', 776), ('cancer', 530), ('analysis', 401), ('cell', 359), ('disease', 352), ('clinic', 289), ('treatment', 275), ('use', 242), ('italian', 235), ('effect', 224), ('surgery', 216), ('human', 215), ('model', 193), ('type', 184), ('system', 183), ('diabetes', 181), ('outcome', 177), ('therapy', 177), ('lung', 172), ('case', 170), ('result', 165), ('role', 164), ('factor', 162), ('metastasis', 161), ('risk', 149), ('control', 144), ('trial', 143), ('chromatography', 136), ('advance', 135)];[(('patients', 'NNS'), 901), (('study', 'NN'), 709), (('cancer', 'NN'), 509), (('analysis', 'NN'), 376), (('clinical', 'JJ'), 277), (('treatment', 'NN'), 262), (('italian', 'JJ'), 233), (('disease', 'NN'), 220), (('cell', 'NN'), 216), (('human', 'JJ'), 191), (('results', 'NNS'), 162), (('role', 'NN'), 162), (('therapy', 'NN'), 156), (('using', 'VBG'), 145), (('case', 'NN'), 143), (('risk', 'NN'), 134), (('chromatography', 'NN'), 127), (('surgery', 'NN'), 126), (('evaluation', 'NN'), 126), (('effects', 'NNS'), 122), (('system', 'NN'), 121), (('new', 'JJ'), 118), (('trial', 'NN'), 118), (('type', 'NN'), 117), (('cells', 'NNS'), 116), (('lung', 'NN'), 115), (('carcinoma', 'NN'), 114), (('management', 'NN'), 113), (('model', 'NN'), 113), (('chronic', 'JJ'), 113)]
60005661;[('flood', 20), ('model', 18), ('di', 18), ('language', 17), ('study', 16), ('italian', 16), ('il', 15), ('water', 14), ('map', 12), ('la', 11), ('floodplain', 11), ('case', 10), ('analysis', 9), ('system', 9), ('problem', 9), ('impact', 8), ('«', 8), ('»', 8), ('interaction', 7), ('river', 7), ('dei', 7), ('della', 7), ('use', 7), ('basin', 7), ('flow', 6), ('experiment', 6), ('simulation', 6), ('framework', 6), ('del', 6), ('note', 6)];[(('flood', 'NN'), 15), (('italian', 'JJ'), 15), (('language', 'NN'), 13), (('study', 'NN'), 12), (('di', 'NN'), 11), (('il', 'NN'), 10), (('case', 'NN'), 9), (('analysis', 'NN'), 9), (('la', 'NN'), 8), (('water', 'NN'), 8), (('river', 'NN'), 7), (('system', 'NN'), 7), (('della', 'NN'), 7), (('mapping', 'NN'), 6), (('modelling', 'VBG'), 6), (('experimental', 'JJ'), 6), (('framework', 'NN'), 6), (('hydrogeomorphic', 'JJ'), 6), (('floodplain', 'NN'), 6), (('lattice', 'NN'), 6), (('boltzmann', 'NN'), 6), (('simulation', 'NN'), 5), (('dei', 'NN'), 5), (('un', 'JJ'), 5), (('optimization', 'NN'), 5), (('del', 'NN'), 5), (('«', 'NNP'), 5), (('role', 'NN'), 5), (('model', 'NN'), 5), (('problems', 'NNS'), 5)]
60007061;[('model', 1771), ('analysis', 1339), ('study', 1328), ('system', 1319), ('effect', 1169), ('use', 890), ('approach', 863), ('structure', 821), ('cell', 763), ('property', 753), ('new', 746), ('base', 672), ('activity', 671), ('process', 638), ('patient', 584), ('network', 580), ('control', 537), ('method', 537), ('synthesis', 521), ('application', 517), ('disease', 511), ('experiment', 458), ('dynamic', 457), ('case', 444), ('high', 443), ('data', 439), ('field', 439), ('evaluation', 431), ('italy', 430), ('measurement', 426)];[(('analysis', 'NN'), 1272), (('study', 'NN'), 1077), (('model', 'NN'), 968), (('new', 'JJ'), 746), (('approach', 'NN'), 735), (('properties', 'NNS'), 725), (('systems', 'NNS'), 691), (('using', 'VBG'), 673), (('system', 'NN'), 627), (('based', 'VBN'), 615), (('effects', 'NNS'), 602), (('effect', 'NN'), 567), (('activity', 'NN'), 564), (('patients', 'NNS'), 529), (('synthesis', 'NN'), 469), (('data', 'NNS'), 426), (('italian', 'JJ'), 419), (('case', 'NN'), 411), (('evaluation', 'NN'), 407), (('control', 'NN'), 385), (('cells', 'NNS'), 384), (('characterization', 'NN'), 365), (('role', 'NN'), 352), (('energy', 'NN'), 347), (('design', 'NN'), 339), (('treatment', 'NN'), 336), (('field', 'NN'), 327), (('disease', 'NN'), 326), (('process', 'NN'), 324), (('production', 'NN'), 324)]
60009340;[('di', 14), ('la', 12), ('un', 7), ('church', 7), ('le', 7), ('il', 6), ('christian', 6), ('de', 5), ('liturgy', 5), ('della', 5), ('byzantine', 5), ('john', 4), ('Judaism', 4), ('century', 4), ('ii', 4), ('history', 4), ('bodmer', 4), ('“', 4), ('christology', 3), ('council', 3), ('faith', 3), ('et', 3), ('tradition', 3), ('del', 3), ('prayer', 3), ('east', 3), ('ukraine', 3), ('note', 3), ('origin', 3), ('priest', 3)];[(('di', 'NN'), 9), (('un', 'JJ'), 7), (('church', 'NN'), 7), (('il', 'NN'), 6), (('christian', 'JJ'), 6), (('della', 'NN'), 5), (('byzantine', 'NN'), 5), (('le', 'NN'), 5), (('la', 'FW'), 4), (('la', 'NN'), 4), (('century', 'NN'), 4), (('bodmer', 'NN'), 4), (('christology', 'NN'), 3), (('john', 'NN'), 3), (('di', 'FW'), 3), (('la', 'VBP'), 3), (('ii', 'NN'), 3), (('de', 'IN'), 3), (('historical', 'JJ'), 3), (('origins', 'NNS'), 3), (('che', 'NN'), 3), (('”', 'NNP'), 3), (('mar', 'NN'), 3), (('gospel', 'NN'), 2), (('council', 'NN'), 2), (('revisited', 'VBD'), 2), (('nisibis', 'JJ'), 2), (('nisibe', 'FW'), 2), (('tradition', 'NN'), 2), (('sulla', 'NN'), 2)]
60009622;[('patient', 1950), ('study', 1414), ('cell', 957), ('cancer', 729), ('clinic', 640), ('disease', 635), ('treatment', 618), ('surgery', 516), ('analysis', 483), ('outcome', 454), ('disorder', 442), ('multiple', 427), ('sclerosis', 419), ('effect', 417), ('therapy', 412), ('italian', 391), ('human', 372), ('result', 353), ('covid', 351), ('radical', 350), ('prostate', 350), ('trial', 350), ('gene', 344), ('syndrome', 332), ('use', 326), ('associate', 322), ('risk', 308), ('role', 300), ('control', 299), ('factor', 284)];[(('patients', 'NNS'), 1817), (('study', 'NN'), 1301), (('cancer', 'NN'), 698), (('clinical', 'JJ'), 629), (('treatment', 'NN'), 599), (('analysis', 'NN'), 450), (('cell', 'NN'), 433), (('disease', 'NN'), 426), (('cells', 'NNS'), 423), (('sclerosis', 'NN'), 415), (('multiple', 'JJ'), 409), (('italian', 'JJ'), 383), (('therapy', 'NN'), 377), (('radical', 'JJ'), 350), (('results', 'NNS'), 350), (('human', 'JJ'), 330), (('surgery', 'NN'), 311), (('gene', 'NN'), 299), (('role', 'NN'), 291), (('disorder', 'NN'), 275), (('trial', 'NN'), 273), (('risk', 'NN'), 269), (('prostate', 'NN'), 268), (('associated', 'VBN'), 265), (('carcinoma', 'NN'), 262), (('chronic', 'JJ'), 255), (('brain', 'NN'), 247), (('pancreatic', 'JJ'), 237), (('outcomes', 'NNS'), 234), (('effect', 'NN'), 218)]
60009914;[('model', 347), ('analysis', 263), ('system', 239), ('effect', 233), ('study', 207), ('use', 191), ('approach', 152), ('case', 136), ('dynamic', 136), ('performance', 133), ('plant', 130), ('data', 128), ('italy', 126), ('design', 121), ('italian', 113), ('process', 111), ('impact', 105), ('different', 96), ('family', 94), ('energy', 94), ('application', 93), ('soil', 92), ('assessment', 91), ('method', 90), ('production', 89), ('base', 89), ('de', 88), ('structure', 88), ('management', 88), ('tourism', 87)];[(('analysis', 'NN'), 249), (('study', 'NN'), 167), (('model', 'NN'), 151), (('systems', 'NNS'), 148), (('case', 'NN'), 136), (('effects', 'NNS'), 132), (('approach', 'NN'), 131), (('using', 'VBG'), 131), (('performance', 'NN'), 122), (('data', 'NNS'), 122), (('italian', 'JJ'), 109), (('effect', 'NN'), 101), (('design', 'NN'), 97), (('different', 'JJ'), 94), (('energy', 'NN'), 94), (('system', 'NN'), 91), (('italy', 'NN'), 90), (('production', 'NN'), 89), (('family', 'NN'), 88), (('new', 'JJ'), 87), (('social', 'JJ'), 85), (('management', 'NN'), 85), (('tourism', 'NN'), 83), (('based', 'VBN'), 80), (('development', 'NN'), 77), (('dynamics', 'NNS'), 76), (('research', 'NN'), 76), (('role', 'NN'), 76), (('plant', 'NN'), 75), (('quality', 'NN'), 74)]
60010110;[('study', 1469), ('effect', 993), ('di', 908), ('patient', 890), ('italy', 858), ('sardinia', 781), ('cell', 723), ('analysis', 692), ('use', 629), ('new', 607), ('case', 568), ('synthesis', 555), ('human', 529), ('activity', 527), ('treatment', 524), ('mediterranean', 515), ('acid', 508), ('model', 499), ('complex', 483), ('structure', 479), ('italian', 456), ('system', 445), ('molecule', 401), ('clinic', 385), ('sheep', 383), ('cancer', 380), ('disease', 380), ('evaluation', 377), ('della', 361), ('rat', 359)];[(('study', 'NN'), 1158), (('patients', 'NNS'), 804), (('di', 'NN'), 700), (('analysis', 'NN'), 646), (('italy', 'NN'), 615), (('new', 'JJ'), 607), (('sardinia', 'NN'), 536), (('effects', 'NNS'), 515), (('synthesis', 'NN'), 497), (('treatment', 'NN'), 494), (('human', 'JJ'), 481), (('effect', 'NN'), 478), (('activity', 'NN'), 467), (('case', 'NN'), 459), (('italian', 'JJ'), 453), (('using', 'VBG'), 378), (('clinical', 'JJ'), 369), (('evaluation', 'NN'), 353), (('della', 'NN'), 348), (('role', 'NN'), 330), (('characterization', 'NN'), 328), (('molecular', 'JJ'), 328), (('different', 'JJ'), 327), (('cells', 'NNS'), 324), (('complexes', 'NNS'), 324), (('cancer', 'NN'), 316), (('sardinian', 'JJ'), 304), (('cell', 'NN'), 296), (('species', 'NNS'), 283), (('approach', 'NN'), 278)]
60010146;[('study', 3268), ('effect', 2301), ('patient', 2288), ('di', 2064), ('model', 1802), ('analysis', 1692), ('new', 1646), ('system', 1578), ('cell', 1471), ('case', 1402), ('use', 1313), ('treatment', 1311), ('collision', 1301), ('italy', 1282), ('disease', 1254), ('sicily', 1052), ('activity', 1024), ('clinic', 1010), ('structure', 949), ('approach', 908), ('tev', 902), ('evaluation', 884), ('italian', 876), ('human', 852), ('cancer', 848), ('della', 847), ('property', 830), ('del', 813), ('energy', 805), ('production', 804)];[(('study', 'NN'), 2657), (('patients', 'NNS'), 2027), (('new', 'JJ'), 1640), (('di', 'NN'), 1600), (('analysis', 'NN'), 1591), (('effects', 'NNS'), 1311), (('collisions', 'NNS'), 1263), (('treatment', 'NN'), 1247), (('case', 'NN'), 1168), (('sicily', 'RB'), 1008), (('clinical', 'JJ'), 995), (('effect', 'NN'), 989), (('model', 'NN'), 986), (('activity', 'NN'), 920), (('system', 'NN'), 907), (('italian', 'JJ'), 863), (('disease', 'NN'), 847), (('evaluation', 'NN'), 844), (('della', 'NN'), 817), (('using', 'VBG'), 817), (('production', 'NN'), 797), (('approach', 'NN'), 796), (('human', 'JJ'), 791), (('properties', 'NNS'), 789), (('italy', 'NN'), 779), (('role', 'NN'), 774), (('cancer', 'NN'), 744), (('characterization', 'NN'), 741), (('cells', 'NNS'), 729), (('synthesis', 'NN'), 696)]
