;Ikeywords_lemma;Ikeywords_pos
60005216;[('cell', 9), ('gene', 8), ('protein', 5), ('human', 4), ('adult', 4), ('age', 4), ('animal', 4), ('expression', 4), ('sustainability', 3), ('cognition', 3), ('psychology', 3), ('think', 3), ('regulation', 3), ('silence', 3), ('rna', 3), ('weightlessness', 3), ('experiment', 2), ('adolescent', 2), ('female', 2), ('inhibition', 2), ('intuition', 2), ('male', 2), ('middle', 2), ('physiology', 2), ('religion', 2), ('memory', 2), ('theory', 2), ('mind', 2), ('young', 2), ('adenosine', 2)];[(('gene', 'NN'), 8), (('cell', 'NN'), 6), (('adult', 'NN'), 4), (('expression', 'NN'), 4), (('human', 'JJ'), 3), (('cognition', 'NN'), 3), (('psychology', 'NN'), 3), (('thinking', 'VBG'), 3), (('aged', 'VBN'), 3), (('animal', 'JJ'), 3), (('regulation', 'NN'), 3), (('silencing', 'VBG'), 3), (('weightlessness', 'NN'), 3), (('sustainability', 'NN'), 2), (('experiment', 'NN'), 2), (('adolescent', 'JJ'), 2), (('intuition', 'NN'), 2), (('middle', 'NN'), 2), (('physiology', 'NN'), 2), (('religion', 'NN'), 2), (('memory', 'NN'), 2), (('theory', 'NN'), 2), (('mind', 'NN'), 2), (('young', 'JJ'), 2), (('protein', 'NN'), 2), (('adenosine', 'JJ'), 2), (('transcriptome', 'NN'), 2), (('proliferation', 'NN'), 2), (('situ', 'JJ'), 2), (('hybridization', 'NN'), 2)]
60005254;[('human', 881), ('analysis', 802), ('model', 762), ('system', 734), ('study', 656), ('control', 543), ('article', 520), ('method', 496), ('adult', 431), ('age', 425), ('test', 423), ('female', 411), ('male', 406), ('process', 383), ('cell', 377), ('flow', 374), ('computer', 349), ('design', 345), ('structure', 343), ('performance', 309), ('energy', 306), ('health', 291), ('disease', 284), ('simulation', 276), ('corrosion', 274), ('stress', 266), ('network', 258), ('industry', 254), ('clinic', 253), ('computation', 239)];[(('analysis', 'NN'), 779), (('human', 'JJ'), 549), (('article', 'NN'), 519), (('systems', 'NNS'), 515), (('study', 'NN'), 494), (('adult', 'NN'), 412), (('computer', 'NN'), 329), (('female', 'JJ'), 319), (('methods', 'NNS'), 312), (('design', 'NN'), 312), (('models', 'NNS'), 312), (('performance', 'NN'), 304), (('control', 'NN'), 302), (('energy', 'NN'), 294), (('humans', 'NNS'), 294), (('model', 'NN'), 292), (('health', 'NN'), 291), (('corrosion', 'NN'), 265), (('clinical', 'JJ'), 253), (('cell', 'NN'), 242), (('disease', 'NN'), 238), (('numerical', 'JJ'), 230), (('system', 'NN'), 219), (('process', 'NN'), 214), (('simulation', 'NN'), 213), (('flow', 'NN'), 213), (('computational', 'JJ'), 206), (('male', 'JJ'), 206), (('data', 'NNS'), 205), (('optimization', 'NN'), 199)]
60005308;[('human', 8786), ('study', 8175), ('age', 6551), ('female', 4802), ('article', 4746), ('male', 4501), ('clinic', 4064), ('adult', 3994), ('cell', 3912), ('disease', 3846), ('protein', 3109), ('cancer', 3022), ('control', 2952), ('drug', 2791), ('middle', 2577), ('analysis', 2383), ('factor', 1986), ('priority', 1876), ('journal', 1875), ('treatment', 1865), ('agent', 1705), ('tumor', 1673), ('outcome', 1653), ('neoplasm', 1596), ('animal', 1541), ('blood', 1521), ('major', 1476), ('acid', 1451), ('gene', 1415), ('survival', 1400)];[(('study', 'NN'), 6153), (('human', 'JJ'), 5336), (('article', 'NN'), 4746), (('clinical', 'JJ'), 4061), (('adult', 'NN'), 3821), (('female', 'JJ'), 3446), (('disease', 'NN'), 3369), (('cell', 'NN'), 3200), (('aged', 'VBN'), 3187), (('humans', 'NNS'), 3036), (('cancer', 'NN'), 2981), (('drug', 'NN'), 2788), (('aged', 'VBD'), 2778), (('male', 'JJ'), 2405), (('analysis', 'NN'), 2335), (('protein', 'NN'), 2243), (('male', 'NN'), 1999), (('treatment', 'NN'), 1856), (('priority', 'NN'), 1845), (('journal', 'NN'), 1769), (('controlled', 'VBD'), 1745), (('studies', 'NNS'), 1534), (('tumor', 'NN'), 1527), (('major', 'JJ'), 1476), (('factor', 'NN'), 1425), (('blood', 'NN'), 1383), (('gene', 'NN'), 1382), (('female', 'NN'), 1235), (('outcome', 'NN'), 1159), (('agent', 'NN'), 1127)]
60005661;[('flood', 74), ('model', 66), ('water', 50), ('river', 37), ('fluid', 24), ('analysis', 23), ('dynamic', 21), ('risk', 20), ('flow', 20), ('optimization', 20), ('method', 19), ('basin', 19), ('map', 18), ('computation', 17), ('management', 17), ('hydrological', 16), ('floodplain', 15), ('italy', 15), ('algorithm', 15), ('problem', 15), ('assessment', 14), ('control', 14), ('human', 14), ('hazard', 13), ('system', 13), ('digit', 12), ('state', 12), ('structure', 11), ('experiment', 11), ('combinatorial', 11)];[(('water', 'NN'), 33), (('flood', 'NN'), 30), (('analysis', 'NN'), 23), (('modeling', 'VBG'), 20), (('river', 'NN'), 19), (('dynamics', 'NNS'), 19), (('optimization', 'NN'), 18), (('models', 'NNS'), 17), (('fluid', 'NN'), 17), (('management', 'NN'), 17), (('floods', 'NNS'), 16), (('model', 'NN'), 16), (('hydrological', 'JJ'), 16), (('hydraulic', 'JJ'), 15), (('computational', 'JJ'), 15), (('flow', 'NN'), 15), (('risk', 'NN'), 13), (('basin', 'NN'), 13), (('problems', 'NNS'), 13), (('digital', 'JJ'), 12), (('flood', 'VBD'), 12), (('control', 'NN'), 12), (('rivers', 'NNS'), 11), (('assessment', 'NN'), 11), (('combinatorial', 'JJ'), 11), (('mapping', 'VBG'), 10), (('size', 'NN'), 10), (('human', 'JJ'), 10), (('volume', 'NN'), 9), (('experimental', 'JJ'), 9)]
60007061;[('human', 9822), ('cell', 9744), ('study', 8067), ('drug', 7920), ('protein', 7066), ('article', 6909), ('analysis', 6152), ('control', 4892), ('model', 4756), ('system', 4559), ('age', 4396), ('disease', 4387), ('structure', 4122), ('male', 3880), ('acid', 3808), ('female', 3805), ('adult', 3410), ('animal', 3341), ('magnetism', 3191), ('agent', 3004), ('molecule', 2952), ('plant', 2690), ('clinic', 2633), ('derivative', 2627), ('method', 2460), ('resonance', 2429), ('activity', 2411), ('chemical', 2296), ('gene', 2230), ('journal', 2199)];[(('drug', 'NN'), 7884), (('cell', 'NN'), 7381), (('article', 'NN'), 6909), (('analysis', 'NN'), 6003), (('study', 'NN'), 5944), (('human', 'JJ'), 5746), (('protein', 'NN'), 4674), (('disease', 'NN'), 3762), (('adult', 'NN'), 3280), (('humans', 'NNS'), 3177), (('magnetic', 'JJ'), 3107), (('systems', 'NNS'), 2872), (('female', 'JJ'), 2845), (('structure', 'NN'), 2753), (('clinical', 'JJ'), 2623), (('molecular', 'JJ'), 2569), (('derivative', 'JJ'), 2484), (('resonance', 'NN'), 2408), (('acid', 'NN'), 2365), (('controlled', 'VBD'), 2359), (('plant', 'NN'), 2325), (('activity', 'NN'), 2198), (('priority', 'NN'), 2141), (('gene', 'NN'), 2139), (('male', 'JJ'), 2108), (('journal', 'NN'), 2056), (('energy', 'NN'), 2042), (('model', 'NN'), 2032), (('aged', 'VBN'), 2023), (('models', 'NNS'), 1988)]
60009622;[('human', 20563), ('study', 18630), ('age', 14222), ('cell', 11642), ('male', 11150), ('article', 10374), ('female', 10214), ('adult', 9428), ('clinic', 9070), ('disease', 8998), ('protein', 8957), ('control', 6422), ('middle', 6221), ('cancer', 5474), ('drug', 5358), ('image', 4955), ('priority', 4595), ('journal', 4595), ('analysis', 4533), ('factor', 4431), ('gene', 4377), ('animal', 4147), ('treatment', 3894), ('tumor', 3712), ('major', 3663), ('outcome', 3642), ('blood', 3550), ('neoplasm', 3177), ('surgery', 3126), ('virus', 3026)];[(('study', 'NN'), 13981), (('human', 'JJ'), 12165), (('article', 'NN'), 10374), (('cell', 'NN'), 9411), (('adult', 'NN'), 9143), (('clinical', 'JJ'), 9020), (('disease', 'NN'), 7729), (('female', 'JJ'), 7461), (('humans', 'NNS'), 7245), (('aged', 'VBN'), 6840), (('protein', 'NN'), 6236), (('aged', 'VBD'), 6027), (('male', 'JJ'), 5929), (('cancer', 'NN'), 5433), (('drug', 'NN'), 5349), (('male', 'NN'), 4949), (('priority', 'NN'), 4550), (('analysis', 'NN'), 4467), (('journal', 'NN'), 4357), (('gene', 'NN'), 4296), (('controlled', 'VBD'), 4191), (('treatment', 'NN'), 3880), (('studies', 'NNS'), 3668), (('major', 'JJ'), 3663), (('tumor', 'NN'), 3359), (('imaging', 'VBG'), 3322), (('blood', 'NN'), 3283), (('brain', 'NN'), 2969), (('factor', 'NN'), 2930), (('magnetic', 'JJ'), 2589)]
60009914;[('analysis', 1024), ('system', 822), ('model', 726), ('plant', 550), ('human', 516), ('study', 508), ('control', 492), ('water', 483), ('energy', 464), ('carbon', 452), ('process', 451), ('soil', 448), ('environment', 423), ('data', 420), ('article', 409), ('acid', 398), ('method', 393), ('management', 384), ('italy', 378), ('animal', 359), ('software', 321), ('protein', 302), ('female', 288), ('temperature', 281), ('development', 274), ('ecosystem', 274), ('agriculture', 254), ('bacteria', 252), ('male', 247), ('experiment', 240)];[(('analysis', 'NN'), 998), (('systems', 'NNS'), 545), (('energy', 'NN'), 447), (('plant', 'NN'), 438), (('water', 'NN'), 437), (('carbon', 'NN'), 419), (('article', 'NN'), 409), (('data', 'NNS'), 395), (('study', 'NN'), 385), (('management', 'NN'), 372), (('soil', 'NN'), 359), (('human', 'JJ'), 345), (('software', 'NN'), 320), (('model', 'NN'), 293), (('environmental', 'JJ'), 292), (('control', 'NN'), 283), (('system', 'NN'), 277), (('process', 'NN'), 276), (('development', 'NN'), 263), (('female', 'JJ'), 249), (('temperature', 'NN'), 240), (('acid', 'NN'), 233), (('performance', 'NN'), 231), (('computer', 'NN'), 229), (('models', 'NNS'), 222), (('italy', 'NN'), 216), (('metabolism', 'NN'), 216), (('method', 'NN'), 210), (('design', 'NN'), 208), (('efficiency', 'NN'), 208)]
60010110;[('human', 13734), ('study', 10265), ('article', 8542), ('cell', 7552), ('drug', 7511), ('age', 6900), ('female', 6809), ('male', 6795), ('animal', 6665), ('protein', 5847), ('adult', 5236), ('disease', 4930), ('analysis', 4876), ('control', 4487), ('clinic', 4121), ('acid', 3759), ('gene', 3668), ('italy', 3365), ('priority', 3054), ('journal', 3054), ('agent', 2855), ('middle', 2824), ('blood', 2775), ('factor', 2651), ('virus', 2481), ('nonhuman', 2434), ('dna', 2372), ('genetic', 2366), ('derivative', 2252), ('system', 2182)];[(('human', 'JJ'), 8883), (('article', 'NN'), 8542), (('study', 'NN'), 7976), (('drug', 'NN'), 7468), (('cell', 'NN'), 5981), (('adult', 'NN'), 5037), (('female', 'JJ'), 5024), (('analysis', 'NN'), 4760), (('clinical', 'JJ'), 4109), (('humans', 'NNS'), 3998), (('disease', 'NN'), 3845), (('protein', 'NN'), 3837), (('gene', 'NN'), 3484), (('male', 'JJ'), 3437), (('male', 'NN'), 3218), (('animal', 'JJ'), 3107), (('priority', 'NN'), 2998), (('controlled', 'VBD'), 2893), (('journal', 'NN'), 2874), (('aged', 'VBN'), 2779), (('aged', 'VBD'), 2682), (('blood', 'NN'), 2580), (('genetic', 'JJ'), 2360), (('acid', 'NN'), 2250), (('nonhuman', 'JJ'), 2166), (('derivative', 'JJ'), 2153), (('cancer', 'NN'), 1982), (('dna', 'NN'), 1954), (('animals', 'NNS'), 1953), (('virus', 'NN'), 1886)]
60010146;[('human', 28051), ('study', 21777), ('article', 17673), ('cell', 16485), ('drug', 15975), ('age', 14912), ('male', 14407), ('female', 13489), ('disease', 11882), ('protein', 11706), ('clinic', 10863), ('adult', 10570), ('control', 10089), ('analysis', 8824), ('animal', 8817), ('acid', 6714), ('system', 6609), ('factor', 6424), ('priority', 6292), ('journal', 6288), ('agent', 6187), ('middle', 5790), ('model', 5288), ('gene', 5237), ('blood', 5187), ('italy', 4558), ('receptor', 4469), ('cancer', 4433), ('child', 4417), ('treatment', 4349)];[(('article', 'NN'), 17673), (('human', 'JJ'), 17664), (('study', 'NN'), 16532), (('drug', 'NN'), 15937), (('cell', 'NN'), 13107), (('clinical', 'JJ'), 10837), (('adult', 'NN'), 10231), (('female', 'JJ'), 10051), (('disease', 'NN'), 9878), (('analysis', 'NN'), 8591), (('humans', 'NNS'), 8579), (('protein', 'NN'), 8006), (('male', 'JJ'), 7477), (('male', 'NN'), 6676), (('aged', 'VBN'), 6283), (('priority', 'NN'), 6222), (('aged', 'VBD'), 6055), (('journal', 'NN'), 5933), (('controlled', 'VBD'), 5886), (('gene', 'NN'), 5036), (('blood', 'NN'), 4771), (('cancer', 'NN'), 4306), (('treatment', 'NN'), 4292), (('animal', 'JJ'), 4133), (('major', 'JJ'), 4124), (('system', 'NN'), 4112), (('acid', 'NN'), 4102), (('factor', 'NN'), 4012), (('receptor', 'NN'), 3635), (('risk', 'NN'), 3506)]
60011576;[('human', 23329), ('study', 18818), ('article', 15627), ('drug', 13491), ('age', 13015), ('male', 12983), ('female', 12178), ('cell', 11857), ('disease', 11440), ('protein', 10882), ('animal', 10722), ('adult', 9831), ('clinic', 8920), ('control', 8039), ('analysis', 7240), ('acid', 6252), ('agent', 5900), ('blood', 5813), ('priority', 5669), ('journal', 5667), ('middle', 5369), ('factor', 5285), ('system', 4158), ('gene', 4106), ('model', 3998), ('child', 3986), ('tumor', 3839), ('nonhuman', 3636), ('heart', 3496), ('receptor', 3474)];[(('article', 'NN'), 15627), (('human', 'JJ'), 14538), (('study', 'NN'), 14209), (('drug', 'NN'), 13444), (('adult', 'NN'), 9505), (('cell', 'NN'), 9306), (('disease', 'NN'), 9258), (('female', 'JJ'), 9194), (('clinical', 'JJ'), 8887), (('protein', 'NN'), 7547), (('humans', 'NNS'), 7413), (('analysis', 'NN'), 7065), (('male', 'JJ'), 6457), (('male', 'NN'), 6261), (('aged', 'VBN'), 5642), (('priority', 'NN'), 5601), (('journal', 'NN'), 5350), (('controlled', 'VBD'), 5334), (('aged', 'VBD'), 5307), (('blood', 'NN'), 5305), (('animal', 'JJ'), 5231), (('gene', 'NN'), 3964), (('acid', 'NN'), 3885), (('factor', 'NN'), 3693), (('tumor', 'NN'), 3538), (('agent', 'NN'), 3412), (('cancer', 'NN'), 3393), (('major', 'JJ'), 3281), (('heart', 'NN'), 3272), (('nonhuman', 'JJ'), 3247)]
60012162;[('analysis', 9262), ('model', 8821), ('system', 8522), ('method', 5592), ('energy', 5278), ('cell', 5155), ('control', 4718), ('material', 4353), ('structure', 4323), ('network', 4283), ('human', 3916), ('process', 3744), ('computer', 3524), ('electric', 3460), ('property', 3152), ('dynamic', 3056), ('simulation', 3043), ('design', 3039), ('test', 3014), ('water', 3010), ('surface', 2917), ('flow', 2758), ('algorithm', 2658), ('article', 2647), ('study', 2632), ('temperature', 2580), ('magnetism', 2577), ('power', 2535), ('theory', 2527), ('heat', 2520)];[(('analysis', 'NN'), 9042), (('systems', 'NNS'), 6147), (('energy', 'NN'), 5035), (('models', 'NNS'), 3854), (('materials', 'NNS'), 3758), (('computer', 'NN'), 3419), (('electric', 'JJ'), 3415), (('control', 'NN'), 3273), (('model', 'NN'), 2966), (('cell', 'NN'), 2819), (('method', 'NN'), 2655), (('article', 'NN'), 2646), (('design', 'NN'), 2614), (('methods', 'NNS'), 2555), (('power', 'NN'), 2519), (('simulation', 'NN'), 2509), (('water', 'NN'), 2478), (('properties', 'NNS'), 2449), (('human', 'JJ'), 2438), (('magnetic', 'JJ'), 2384), (('system', 'NN'), 2373), (('numerical', 'JJ'), 2318), (('networks', 'NNS'), 2297), (('mathematical', 'JJ'), 2150), (('dynamics', 'NNS'), 2075), (('temperature', 'NN'), 2059), (('study', 'NN'), 2053), (('time', 'NN'), 2042), (('mechanical', 'JJ'), 1948), (('theory', 'NN'), 1887)]
60012227;[('cell', 3673), ('protein', 3638), ('animal', 2631), ('human', 2373), ('article', 2365), ('model', 2245), ('galaxy', 1964), ('molecule', 1821), ('study', 1588), ('analysis', 1510), ('acid', 1449), ('structure', 1437), ('control', 1369), ('nerve', 1358), ('theory', 1289), ('receptor', 1253), ('rat', 1209), ('dynamic', 1193), ('system', 1192), ('brain', 1188), ('journal', 1125), ('priority', 1123), ('method', 1093), ('quantum', 1075), ('male', 1067), ('adult', 1017), ('simulation', 996), ('female', 994), ('potential', 937), ('nonhuman', 919)];[(('cell', 'NN'), 2816), (('article', 'NN'), 2365), (('protein', 'NN'), 2204), (('molecular', 'JJ'), 1593), (('human', 'JJ'), 1490), (('galaxies', 'NNS'), 1477), (('analysis', 'NN'), 1460), (('study', 'NN'), 1307), (('brain', 'NN'), 1188), (('nerve', 'NN'), 1163), (('dynamics', 'NNS'), 1143), (('structure', 'NN'), 1136), (('priority', 'NN'), 1107), (('journal', 'NN'), 1079), (('animal', 'JJ'), 1057), (('model', 'NN'), 1022), (('theory', 'NN'), 1017), (('receptor', 'NN'), 1001), (('models', 'NNS'), 992), (('adult', 'NN'), 983), (('acid', 'NN'), 965), (('controlled', 'VBD'), 903), (('nonhuman', 'JJ'), 861), (('animals', 'NNS'), 858), (('drug', 'NN'), 855), (('energy', 'NN'), 840), (('female', 'JJ'), 821), (('gene', 'NN'), 820), (('simulation', 'NN'), 785), (('humans', 'NNS'), 774)]
60012259;[('human', 69177), ('study', 53052), ('cell', 46984), ('article', 38180), ('age', 37482), ('female', 33981), ('male', 32355), ('protein', 31597), ('drug', 27230), ('adult', 27154), ('disease', 25262), ('clinic', 24932), ('animal', 23267), ('control', 20474), ('cancer', 19830), ('analysis', 18469), ('gene', 16690), ('factor', 16465), ('priority', 15780), ('journal', 15771), ('middle', 15135), ('tumor', 13173), ('neoplasm', 12608), ('blood', 11631), ('agent', 10916), ('acid', 10827), ('italy', 10720), ('major', 10264), ('system', 9990), ('receptor', 9871)];[(('human', 'JJ'), 44239), (('study', 'NN'), 40398), (('article', 'NN'), 38179), (('cell', 'NN'), 37377), (('drug', 'NN'), 27129), (('adult', 'NN'), 26242), (('clinical', 'JJ'), 24888), (('female', 'JJ'), 24872), (('protein', 'NN'), 20817), (('disease', 'NN'), 20306), (('humans', 'NNS'), 20237), (('cancer', 'NN'), 19508), (('analysis', 'NN'), 18077), (('male', 'JJ'), 16288), (('aged', 'VBN'), 15962), (('gene', 'NN'), 15906), (('priority', 'NN'), 15550), (('male', 'NN'), 15368), (('aged', 'VBD'), 15142), (('journal', 'NN'), 14888), (('controlled', 'VBD'), 13192), (('tumor', 'NN'), 12137), (('blood', 'NN'), 10851), (('factor', 'NN'), 10817), (('animal', 'JJ'), 10711), (('major', 'JJ'), 10264), (('studies', 'NNS'), 9274), (('treatment', 'NN'), 9173), (('female', 'NN'), 8237), (('risk', 'NN'), 8226)]
60012280;[('human', 36), ('adult', 19), ('male', 18), ('female', 15), ('italy', 14), ('age', 14), ('article', 13), ('psychological', 13), ('study', 12), ('stress', 11), ('middle', 11), ('questionnaire', 10), ('satisfaction', 9), ('clergy', 8), ('validity', 8), ('therapy', 8), ('behavior', 7), ('religion', 7), ('catholic', 7), ('emotional', 7), ('psychology', 7), ('patient', 7), ('clinic', 6), ('young', 6), ('burnout', 5), ('wellbeing', 5), ('adolescent', 5), ('control', 5), ('relation', 5), ('social', 5)];[(('human', 'JJ'), 29), (('adult', 'NN'), 17), (('italy', 'NN'), 13), (('article', 'NN'), 13), (('female', 'JJ'), 13), (('psychological', 'JJ'), 13), (('stress', 'NN'), 10), (('study', 'NN'), 10), (('male', 'JJ'), 10), (('satisfaction', 'NN'), 9), (('validity', 'NN'), 8), (('aged', 'VBN'), 8), (('therapy', 'NN'), 8), (('emotional', 'JJ'), 7), (('male', 'NN'), 7), (('religion', 'NN'), 6), (('humans', 'NNS'), 6), (('catholic', 'JJ'), 6), (('psychology', 'NN'), 6), (('questionnaire', 'NN'), 6), (('clergy', 'NN'), 6), (('clinical', 'JJ'), 6), (('young', 'JJ'), 6), (('aged', 'VBD'), 5), (('middle', 'JJ'), 5), (('social', 'JJ'), 5), (('dysfunction', 'NN'), 5), (('wellbeing', 'NN'), 4), (('burnout', 'IN'), 4), (('construct', 'NN'), 4)]
60012306;[('human', 26098), ('study', 22510), ('cell', 17060), ('age', 15557), ('article', 14643), ('protein', 14615), ('female', 13642), ('male', 12532), ('adult', 12151), ('disease', 10985), ('clinic', 9801), ('analysis', 9384), ('control', 8966), ('drug', 8233), ('factor', 6513), ('middle', 6435), ('blood', 6393), ('cancer', 6393), ('animal', 6365), ('gene', 5952), ('priority', 5949), ('journal', 5948), ('model', 5489), ('agent', 5378), ('heart', 5237), ('risk', 5199), ('italy', 4421), ('child', 4227), ('major', 4022), ('pressure', 4012)];[(('study', 'NN'), 16972), (('human', 'JJ'), 15458), (('article', 'NN'), 14641), (('cell', 'NN'), 13278), (('adult', 'NN'), 11727), (('female', 'JJ'), 10006), (('clinical', 'JJ'), 9782), (('protein', 'NN'), 9635), (('disease', 'NN'), 9303), (('analysis', 'NN'), 9240), (('humans', 'NNS'), 9050), (('drug', 'NN'), 8199), (('aged', 'VBN'), 7088), (('male', 'JJ'), 6717), (('aged', 'VBD'), 6401), (('cancer', 'NN'), 6300), (('blood', 'NN'), 6029), (('priority', 'NN'), 5875), (('gene', 'NN'), 5677), (('journal', 'NN'), 5598), (('controlled', 'VBD'), 5536), (('male', 'NN'), 5464), (('heart', 'NN'), 4698), (('risk', 'NN'), 4500), (('factor', 'NN'), 4149), (('studies', 'NNS'), 4114), (('major', 'JJ'), 4022), (('pressure', 'NN'), 3967), (('treatment', 'NN'), 3782), (('tumor', 'NN'), 3337)]
60012630;[('protein', 3836), ('cell', 3615), ('analysis', 3471), ('human', 3155), ('model', 3147), ('structure', 2586), ('article', 2307), ('system', 2115), ('animal', 1907), ('study', 1904), ('control', 1721), ('italy', 1617), ('method', 1609), ('spectroscopy', 1512), ('drug', 1452), ('energy', 1380), ('molecule', 1268), ('water', 1253), ('gene', 1230), ('galaxy', 1164), ('ray', 1148), ('acid', 1133), ('wave', 1132), ('environment', 1072), ('flow', 1070), ('effect', 1024), ('crystal', 1024), ('material', 1022), ('compound', 995), ('experiment', 994)];[(('analysis', 'NN'), 3402), (('cell', 'NN'), 2690), (('protein', 'NN'), 2411), (('article', 'NN'), 2306), (('human', 'JJ'), 1972), (('study', 'NN'), 1535), (('structure', 'NN'), 1503), (('drug', 'NN'), 1447), (('systems', 'NNS'), 1333), (('energy', 'NN'), 1299), (('model', 'NN'), 1278), (('gene', 'NN'), 1176), (('models', 'NNS'), 1164), (('molecular', 'JJ'), 1105), (('water', 'NN'), 1049), (('italy', 'NN'), 1013), (('spectroscopy', 'NN'), 1007), (('galaxies', 'NNS'), 991), (('priority', 'NN'), 959), (('humans', 'NNS'), 923), (('journal', 'NN'), 920), (('materials', 'NNS'), 913), (('data', 'NNS'), 907), (('time', 'NN'), 895), (('optical', 'JJ'), 881), (('numerical', 'JJ'), 873), (('sequence', 'NN'), 854), (('computer', 'NN'), 812), (('animal', 'JJ'), 811), (('system', 'NN'), 782)]
60013494;[('analysis', 2763), ('water', 2176), ('article', 2105), ('human', 1735), ('environment', 1684), ('chemical', 1573), ('model', 1516), ('compound', 1334), ('italy', 1278), ('study', 1260), ('acid', 1223), ('cell', 1142), ('structure', 1056), ('spectroscopy', 1054), ('derivative', 1047), ('drug', 1045), ('reaction', 989), ('control', 974), ('system', 931), ('pollution', 857), ('carbon', 833), ('sea', 829), ('risk', 788), ('animal', 784), ('method', 780), ('climate', 777), ('metal', 751), ('pollutant', 747), ('assessment', 726), ('catalyst', 705)];[(('analysis', 'NN'), 2672), (('article', 'NN'), 2105), (('water', 'NN'), 1975), (('environmental', 'JJ'), 1400), (('human', 'JJ'), 1105), (('drug', 'NN'), 1035), (('chemical', 'NN'), 1018), (('study', 'NN'), 989), (('derivative', 'JJ'), 971), (('cell', 'NN'), 847), (('pollution', 'NN'), 845), (('sea', 'NN'), 779), (('compounds', 'NNS'), 763), (('reaction', 'NN'), 733), (('structure', 'NN'), 726), (('carbon', 'NN'), 719), (('italy', 'NN'), 677), (('management', 'NN'), 673), (('spectroscopy', 'NN'), 652), (('climate', 'NN'), 651), (('organic', 'JJ'), 648), (('model', 'NN'), 648), (('acid', 'NN'), 639), (('risk', 'NN'), 627), (('priority', 'NN'), 615), (('chemistry', 'NN'), 607), (('waste', 'NN'), 589), (('temperature', 'NN'), 575), (('concentration', 'NN'), 573), (('journal', 'NN'), 572)]
60014096;[('human', 3722), ('study', 3476), ('article', 2629), ('cell', 2451), ('protein', 2326), ('age', 2296), ('male', 1993), ('female', 1901), ('analysis', 1815), ('drug', 1725), ('disease', 1638), ('animal', 1621), ('control', 1542), ('adult', 1537), ('acid', 1469), ('clinic', 1287), ('italy', 1190), ('gene', 1088), ('factor', 965), ('middle', 902), ('priority', 892), ('journal', 892), ('agent', 844), ('model', 714), ('plant', 686), ('image', 672), ('nonhuman', 672), ('blood', 659), ('activity', 658), ('magnetism', 642)];[(('article', 'NN'), 2628), (('study', 'NN'), 2614), (('human', 'JJ'), 2207), (('cell', 'NN'), 1925), (('analysis', 'NN'), 1753), (('drug', 'NN'), 1724), (('protein', 'NN'), 1586), (('adult', 'NN'), 1484), (('disease', 'NN'), 1432), (('female', 'JJ'), 1380), (('humans', 'NNS'), 1304), (('clinical', 'JJ'), 1284), (('male', 'JJ'), 1059), (('aged', 'VBN'), 1044), (('gene', 'NN'), 1042), (('acid', 'NN'), 916), (('controlled', 'VBD'), 894), (('male', 'NN'), 890), (('priority', 'NN'), 887), (('aged', 'VBD'), 874), (('journal', 'NN'), 859), (('factor', 'NN'), 653), (('magnetic', 'JJ'), 635), (('treatment', 'NN'), 633), (('cancer', 'NN'), 632), (('animal', 'JJ'), 624), (('activity', 'NN'), 620), (('studies', 'NNS'), 610), (('resonance', 'NN'), 607), (('blood', 'NN'), 599)]
60015197;[('human', 43626), ('study', 29965), ('cell', 26278), ('article', 24736), ('age', 20614), ('drug', 20495), ('male', 20122), ('female', 19904), ('protein', 18551), ('adult', 16949), ('disease', 16063), ('clinic', 15537), ('control', 13862), ('analysis', 12411), ('animal', 11683), ('priority', 10579), ('journal', 10571), ('blood', 9074), ('system', 9031), ('gene', 9006), ('middle', 8242), ('factor', 8147), ('acid', 8105), ('child', 7528), ('agent', 7379), ('model', 7031), ('heart', 6468), ('major', 5823), ('receptor', 5262), ('dna', 5185)];[(('human', 'JJ'), 28222), (('article', 'NN'), 24735), (('study', 'NN'), 23192), (('cell', 'NN'), 20737), (('drug', 'NN'), 20423), (('adult', 'NN'), 16372), (('clinical', 'JJ'), 15518), (('female', 'JJ'), 14932), (('disease', 'NN'), 13205), (('humans', 'NNS'), 12518), (('protein', 'NN'), 12444), (('analysis', 'NN'), 12181), (('male', 'JJ'), 10410), (('priority', 'NN'), 10407), (('journal', 'NN'), 9902), (('male', 'NN'), 9312), (('gene', 'NN'), 8610), (('blood', 'NN'), 8367), (('controlled', 'VBD'), 8351), (('aged', 'VBN'), 8229), (('aged', 'VBD'), 8130), (('system', 'NN'), 6440), (('major', 'JJ'), 5823), (('heart', 'NN'), 5677), (('animal', 'JJ'), 5570), (('child', 'NN'), 5423), (('factor', 'NN'), 5117), (('therapy', 'NN'), 4875), (('genetic', 'JJ'), 4865), (('treatment', 'NN'), 4854)]
